title,author,source,description,content,pub_date,url,urlToImage
California's Earthquake Early Warning system rolls out statewide,Richard Lawler,Engadget,"As expected, today California governor Gavin Newsom announced the launch of a statewide Earthquake Early Warning System. Based on reports from sensors embedded in the ground across the state, it can detect tremors and deliver warnings to mobile phones using t…","As expected, today California governor Gavin Newsom announced the launch of a statewide Earthquake Early Warning System. Based on reports from sensors embedded in the ground across the state, it can detect tremors and deliver warnings to mobile phones using t… [+333 chars]",2019-10-18,https://www.engadget.com/2019/10/17/earthquake-warning-myshake/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D4573%252C3044%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1065%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-10%252F30175ff0-f140-11e9-b79d-05e1740467be%26client%3Da1acac3e1b3290917d92%26signature%3D97a4d5aefd9868b6f71eb4eee00ea4258f360222&client=amp-blogside-v2&signature=642f8ab7dbea6e18b610093663b0dfee7788cbe6
Strong Earthquake Strikes Southern Philippine Island,Jason Gutierrez and Gerry Mullany,The New York Times,There were no immediate reports of injuries from the magnitude-6.6 earthquake.,"Cracks appeared in the walls and ceiling of a hospital in the southern city of Kidapawan as doctors and nurses carried out an evacuation, the station reported. 
Mayor Sara Duterte of Davao ordered the cancellation of all classes in public and private schools… [+546 chars]",2019-10-29,https://www.nytimes.com/2019/10/28/world/asia/philippines-earthquake-mindanao.html,https://static01.nyt.com/newsgraphics/images/icons/defaultPromoCrop.png
Compton Earthquake Rattles the Los Angeles Area,Jill Cowan,The New York Times,Friday: The quake hit after a day of remembrance for the 1989 Loma Prieta earthquake. Also: What to expect when leaders of PG&E talk to state regulators.,"My colleague Ivan Penn, who covers energy from Los Angeles, is in San Francisco today, as Pacific Gas &amp; Electric executives meet with regulators. He wrote about what hell be watching for at their meeting: 
It is almost a regular event these days: PG&amp;… [+1986 chars]",2019-10-18,https://www.nytimes.com/2019/10/18/us/compton-earthquake.html,https://static01.nyt.com/images/2019/10/17/us/LOMAPRIETA01/LOMAPRIETA01-facebookJumbo.jpg
Earthquake Early Warnings,About,Xkcd.com,,"This work is licensed under a
Creative Commons Attribution-NonCommercial 2.5 License.
This means you're free to copy and share these comics (but not to sell them). More details.",2019-10-23,https://xkcd.com/2219/,https://imgs.xkcd.com/comics/earthquake_early_warnings_2x.png
Alicia Vikander is haunting in Netflix's 'Earthquake Bird' trailer,Tricia Crimmins,Mashable,"Based on the novel of the same name by Susanna Jones, The Earthquake Bird tells the story of a cryptic love triangle set in Tokyo in the 1980s. Lucy Fly (Alicia Vikander) is an expat living abroad, where she befriends Lily, another foreigner. Both women have …","Based on the novel of the same name by Susanna Jones, The Earthquake Bird tells the story of a cryptic love triangle set in Tokyo in the 1980s.
Lucy Fly (Alicia Vikander) is an expat living abroad, where she befriends Lily, another foreigner. Both women have… [+358 chars]",2019-10-09,https://mashable.com/video/earthquake-bird-trailer/,https://mondrian.mashable.com/2019%252F10%252F09%252F55%252F38666984c5654e0293096423a5a8bcba.2034e.jpg%252F1200x630.jpg?signature=yBrMqQtCQrmvEnbsPUSnZhd-ugE=
"Providing emergency and security services to employees, Base Operations raises $1 million",Jonathan Shieber,TechCrunch,"In 2017, when a destructive earthquake struck Puebla, Mexico, sending shockwaves to Mexico City and destroying buildings in the nation’s megalopolis and its surrounding suburbs, both public and private emergency services sprung into action. For multinational …","In 2017, when a destructive earthquake struck Puebla, Mexico, sending shockwaves to Mexico City and destroying buildings in the nation’s megalopolis and its surrounding suburbs, both public and private emergency services sprung into action.
For multinational… [+2834 chars]",2019-10-28,http://techcrunch.com/2019/10/28/providing-emergency-and-security-services-to-employees-base-operations-raises-1-million/,https://techcrunch.com/wp-content/uploads/2019/10/GettyImages-1176406411.jpg?w=600
"Dormant for 500 Years, a Potentially Deadly Fault in California Has Started to Move",George Dvorsky,Gizmodo.com,"This past summer, southern California experienced a significant earthquake swarm. Analysis of the event suggests earthquakes unravel in a more complicated manner than is typically appreciated. What’s more, this event has perturbed a major, previously idle fau…","This past summer, southern California experienced a significant earthquake swarm. Analysis of the event suggests earthquakes unravel in a more complicated manner than is typically appreciated. Whats more, this event has perturbed a major, previously idle faul… [+5138 chars]",2019-10-18,https://gizmodo.com/dormant-for-500-years-a-potentially-deadly-fault-in-ca-1839165517,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/d1bk1aefkje8l5iulzsb.jpg"
Magnitude 3.6 Earthquake Strikes Off San Mateo Coast - CBS San Francisco,CBS San Francisco,Cbslocal.com,"Magnitude 3.6 Earthquake Strikes Off San Mateo Coast CBS San Francisco 3.6 magnitude earthquake hits about 9 miles southwest of San Francisco NBC News 3.6 magnitude earthquake rattles near Colma KRON4 Magnitude 3.6 earthquake strikes near Colma, CA SFGate Mag…","COLMA (CBS SF) — A magnitude 3.6 earthquake struck off the coast just south of San Francisco on Saturday morning, jolting local residents from their beds and breakfast tables.
The U.S. Geological Survey reports the quake struck at 8:41 a.m. and was centered … [+1767 chars]",2019-10-05,https://sanfrancisco.cbslocal.com/2019/10/05/earthquake-colma-oct5-coastside/,https://sanfrancisco.cbslocal.com/wp-content/uploads/sites/15116056/2019/10/quakemap.jpg?w=832
A 1964 Earthquake Might Have Unleashed a Deadly Fungus on the Pacific Northwest,Ed Cara,Gizmodo.com,"Two decades ago, a rare but deadly fungal infection began killing animals and people in the U.S. and Canada. To this day, no one has figured out how it arrived there in the first place. Now a pair of scientists have put forth their own theory: Tsunamis, spark…","Two decades ago, a rare but deadly fungal infection began killing animals and people in the U.S. and Canada. To this day, no one has figured out how it arrived there in the first place. Now a pair of scientists have put forth their own theory: Tsunamis, spark… [+5915 chars]",2019-10-01,https://gizmodo.com/a-1964-earthquake-might-have-unleashed-a-deadly-fungus-1838673443,"https://i.kinja-img.com/gawker-media/image/upload/s--jsGoC8MV--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/gxuqjpvkls3lhm6xcajz.jpg"
4.7 earthquake reported near Hollister comes after 4.5 temblor hit in Bay Area - KGO-TV,,Abc7news.com,4.7 earthquake reported near Hollister comes after 4.5 temblor hit in Bay Area KGO-TV Magnitude 4.5 earthquake shakes San Francisco Bay area days before Loma Prieta anniversary USA TODAY 4.5 magnitude earthquake hits Bay Area ABC10 4.7 earthquake shakes Bay A…,"HOLLISTER, Calif. (KGO) -- USGS is reporting that a magnitude-4.7 earthquake hit southeast of Hollister, California, at 12:42 p.m. Tuesday.Some Bay Area residents are reporting feeling the temblor.
This comes a day after a magnitude-4.5 quake rattled the Bay… [+429 chars]",2019-10-15,https://abc7news.com/society/usgs-reports-magnitude-47-quake-hit-near-hollister/5620943/,https://cdn.abcotvs.com/dip/images/5621090_101519-kgo-usgs-hollister-quake-map-img.jpg?w=1600
