title,author,source,description,content,pub_date,url,urlToImage
Wealthy Counties Benefited Most From a Flood Relief Program,Eric Niiler,Wired,"When the government offered to buy up houses in flood zones, wealthier homeowners took advantage, while poorer residents stayed put or fled.","People who live anywhere near the Missouri River must be pretty worn out by now. After near-record floods last spring that affected more than 14 million people, many residents thought the worst was over. But recent heavy rains have kept water levels high, mak… [+3571 chars]",2019-10-09,https://www.wired.com/story/wealthy-counties-benefited-most-from-a-flood-relief-program/,"https://media.wired.com/photos/5d9dd920cdc4580008379b1d/master/w_2560,c_limit/Science_flooding_.jpg"
Ocasio-Cortez Will Be Very Tough to Beat. Why Are 11 People Trying?,Vivian Wang,The New York Times,The first-term congresswoman has attracted a flood of Republican and Democratic challengers. Money is flowing in all directions.,"But for the challengers, running even with a near-guarantee of defeat  has few downsides. They can raise thousands off Ms. Ocasio-Cortezs name alone; earn exposure for future campaigns; and bask in the attention, even if only for a short time.
For her part, … [+1581 chars]",2019-10-18,https://www.nytimes.com/2019/10/18/nyregion/aoc-2020-opponents.html,https://static01.nyt.com/images/2019/10/15/nyregion/00aoc1/00aoc1-facebookJumbo.jpg
TikTok Kicks Political Ads Off Its Platform Because Screw That Noise,Alyse Stanley,Gizmodo.com,"Looks like there will be at least one online safe haven from the flood of political ads our feeds see every election season: TikTok, of all places. Read more...","Looks like there will be at least one online safe haven from the flood of political ads our feeds see every election season: TikTok, of all places.
The popular short-form video app will no longer run ads from politicians or candidates at any level of governm… [+1827 chars]",2019-10-04,https://gizmodo.com/tiktok-kicks-political-ads-off-its-platform-because-scr-1838763756,"https://i.kinja-img.com/gawker-media/image/upload/s--FR_bYFbs--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/wl9bqpjiwelw10f5ctha.png"
Typhoon Hagibis: Satellites show Japan rivers in flood,https://www.facebook.com/bbcnews,BBC News,Satellite images show extent of flooding as Japanese rivers burst their banks.,,2019-10-14,https://www.bbc.co.uk/news/world-asia-pacific-50043180,https://ichef.bbci.co.uk/news/1024/branded_news/1822E/production/_109226889_kawagoe_afp.jpg
"After Typhoon, Dramatic Rescues of Residents Trapped by Floods",Motoko Rich,The New York Times,"Japan, which prides itself on its robust infrastructure and disaster preparedness, was humbled by the hard hit that hurt even major metropolitan areas.","In Kawasaki, an industrial city between Tokyo and Yokohama where about 900,000 people had been advised to evacuate on Saturday, many areas were left underwater. In Fukushima, which was hit by the nuclear meltdown that followed an earthquake and tsunami in 201… [+641 chars]",2019-10-13,https://www.nytimes.com/2019/10/13/world/asia/japan-typhoon-rescue.html,https://static01.nyt.com/images/2019/10/13/world/13japan-recovery2sub/13japan-recovery2sub-facebookJumbo.jpg
"In Texas, Home Sellers Must Now Disclose More About The Risk Of Flooding",Mose Buchele,Npr.org,"In many places there's no requirement to tell a home buyer if a house is at risk of flooding, even as climate change increases that risk.  Some hope a new Texas law will be a national model.","Hurricane Harvey's devastating flooding caught many homeowners by surprise, and prompted support for more disclosure about flood risk.
Win McNamee/Getty Images
When Arthur Mosely moved to East Austin in the 1980's he didn't worry about flooding. His propert… [+4917 chars]",2019-10-27,https://www.npr.org/2019/10/27/772996585/in-texas-home-sellers-must-now-disclose-more-about-the-risk-of-flooding,https://media.npr.org/assets/img/2019/10/25/gettyimages-841052414_wide-042483d0e78e67e2dd7f9c76780395592c5723d2.jpg?s=1400
Flooding threatens millions from New Mexico to Michigan as record heat warms South,Max Golembo,ABC News,Eleven states are under flood and flash flood alerts Tuesday morning.,"Eleven states are under flood and flash flood alerts Tuesday morning.
Interested in Weather?
Add Weather as an interest to stay up to date on the latest Weather news, video, and analysis from ABC News.
A cold front combined with tropical moisture from the … [+1360 chars]",2019-10-01,https://abcnews.go.com/US/flooding-threatens-millions-mexico-michigan-record-heat-continues/story?id=65975247,https://s.abcnews.com/images/US/wisconsin-flooding-20191001_hpMain_20191001-074035_16x9_992.jpg
How record flooding in the US is transforming this Midwestern city,Hannah Jiang,Business Insider,"2019 has seen the most prolonged and widespread flooding in US history. Davenport, Iowa was just one of many places hit by record-setting waters, with downtown businesses expecting to lose $30 million in revenue and wages over the next year. As the largest co…","DAVENPORT, IOWA — During a year of historic flooding across the Midwest and the South, Davenport, Iowa was unprepared for the waters that hit several blocks of its downtown. 
The community is now grappling with what went wrong — and what comes next — for its… [+8661 chars]",2019-10-22,https://www.businessinsider.com/record-flooding-changing-davenport-iowa-mississippi-river-2019-10,https://image.businessinsider.com/5daf2388cc4a0a7d3b7d61b4?width=1200&format=jpeg
‘People Were Bleeding All Over’: America’s Most Dangerous Amusement Park,James Barron,The New York Times,"Action Park was infamous for bruises, scars, broken bones — even death. Now it is the subject of a documentary.","Andy Mulvihill called the deaths at Action Park devastating to me. 
But he added, three of those deaths were drownings. We pulled out thousands and thousands of people who were people who had no business in the water.
And yet, it was exhilarating. For some,… [+868 chars]",2019-10-19,https://www.nytimes.com/2019/10/19/nyregion/action-park-movie.html,https://static01.nyt.com/images/2019/09/26/nyregion/00actionpark-copy/00actionpark-copy-facebookJumbo.jpg
Blood floods a family's basement and we could not be more horrified,Andy Moser,Mashable,"Halloween horror came early for one Iowa family when their basement flooded with five inches of animal blood. According to WHO Channel 13 News, the flood happened after a meat locker next to the family's home discarded animal blood, fat, and bones down a floo…","Halloween horror came early for one Iowa family when their basement flooded with five inches of animal blood.
According to WHO Channel 13 News, the flood happened after a meat locker next to the family's home discarded animal blood, fat, and bones down a flo… [+1217 chars]",2019-10-17,https://mashable.com/article/blood-basement-flood-iowa/,https://mondrian.mashable.com/2019%252F10%252F17%252F3b%252F9627b1aa6fae451ab4754836878e3995.b9887.png%252F1200x630.png?signature=obyBBjvVAz845lR4cYGrzHcLNnE=
Sea-Level Rise Could Flood Hundreds of Millions More Than Expected,msmash,Slashdot.org,"By the end of this century, rising oceans will almost certainly flood the lands where tens of millions of people live as accelerating climate change warms the waters and melts ice sheets. From a report: But precise estimates of the vulnerable populations depe…","While this undoubtably true, I do want to point out that they're talking about the end of the century here. We do have a bit of time.This is not happening tomorrow.",2019-10-29,https://science.slashdot.org/story/19/10/29/2027205/sea-level-rise-could-flood-hundreds-of-millions-more-than-expected,https://a.fsdn.com/sd/topics/earth_64.png
India to spend $6 billion to revive telecom operators BSNL and MTNL,Manish Singh,TechCrunch,"India said on Wednesday it plans to spend nearly $6 billion to revive loss-making state-funded telecom operators Bharat Sanchar Nigam Ltd (BSNL) and Mahanagar Telephone Nigam Ltd (MTNL). In a press conference, telecom minister Ravi Shankar Prasad said today t…","India said on Wednesday it plans to spend nearly $6 billion to revive loss-making state-funded telecom operators Bharat Sanchar Nigam Ltd (BSNL) and Mahanagar Telephone Nigam Ltd (MTNL).
In a press conference, telecom minister Ravi Shankar Prasad said today … [+2353 chars]",2019-10-23,http://techcrunch.com/2019/10/23/india-bsnl-mtnl-merger/,https://techcrunch.com/wp-content/uploads/2019/10/GettyImages-1083997782.jpg?w=616
Severe flooding in south of France leaves three dead,https://www.facebook.com/bbcnews,BBC News,The town of Béziers saw two months' average rainfall fall in just six hours on Wednesday morning.,"Image copyrightAFPImage caption
 Flooding this week devastated the southern French town of Béziers
At least three people have died after floods hit the south of France, France's Interior Ministry confirmed.
About 2,000 firefighters and rescue workers were … [+3208 chars]",2019-10-24,https://www.bbc.co.uk/news/world-europe-50169525,https://ichef.bbci.co.uk/news/1024/branded_news/16981/production/_109354529_91b3c33a-84a2-4ddc-9a41-4a49645bf081.jpg
Hong Kong braces for weekend of fresh anti-government protests - The Straits Times,hermesauto,Straitstimes.com,Hong Kong braces for weekend of fresh anti-government protests The Straits Times Hong Kong pro-democracy march organizer brutally attacked ABS-CBN News Angry emojis flood Hong Kong leader's Facebook Live chat Rappler Hong Kong legislature disrupted again as l…,"HONG KONG (REUTERS) - Hong Kong is preparing for a weekend of demonstrations, including a human chain at major subway lines on Friday (Oct 18) and a democracy march on Sunday, the latest moves in more than four months of anti-government protests.
It has been… [+2427 chars]",2019-10-18,https://www.straitstimes.com/asia/east-asia/hong-kong-braces-for-weekend-of-fresh-anti-government-protests,https://www.straitstimes.com/sites/default/files/styles/x_large/public/articles/2019/10/18/nz_hkprot_181090.jpg?itok=rQ3p70P-
The Great Data Flood Ahead,,Semiengineering.com,"So much data, so little time to process it.","The number of devices connected to the Internet is expected to exceed 1 trillion devices over the next decade or so. The timeline is a bit fuzzy, in part because no one is actually counting all of these devices, but the implications are pretty clear. A data d… [+4366 chars]",2019-09-30,https://semiengineering.com/the-great-data-flood-ahead/,https://i1.wp.com/semiengineering.com/wp-content/uploads/2019/09/berlin-1156844_1280.jpg?fit=1280%2C853&ssl=1
Online haters are targetting Greta Thunberg with conspiracy theories and fake photos,"USA TODAY, Elizabeth Weise, USA TODAY",USA Today,Greta Thunberg is the target of a flood of online abuse and scores of misinformation and conspiracy theories.,"Climate activist Greta Thunberg, in an emotional speech at the United Nations chided world leaders with the repeated phrase, ""how dare you?"" (Sept. 23)
 AP, AP
Greta Thunberg, the 16-year-old Swedish climate activist who spoke so passionately before the Uni… [+6585 chars]",2019-10-02,https://www.usatoday.com/story/news/nation/2019/10/02/climate-change-activist-greta-thunberg-targeted-online-trolls/3843196002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/09/19/USAT/917c7820-b80a-4ecf-b602-4c4cf597e8f8-EPA_epaselect_USA_GRETA_THUNBERG_CONGRESS.JPG?crop=3232,1818,x0,y142&width=3200&height=1680&fit=bounds"
"Sea-level rise could threaten up to 480 million people, new study claims",Christopher Carbone,Fox News,"Rising seas this century could flood coastal areas that up to 480 million people call home, according to a study published on Tuesday.","Rising seas this century could flood coastal areas that up to 480 million people call home, according to a study published on Tuesday.
Scientists at Climate Central, a research and advocacy group, used a new digital model to estimate coastal elevation that i… [+1729 chars]",2019-10-29,https://www.foxnews.com/science/sea-level-rise-threaten-480-million-people-study,https://static.foxnews.com/foxnews.com/content/uploads/2019/10/mumbai-sea-getty-images.jpg
Tegan & Sara revisit their youth in memoir about early life in Calgary - Calgary Herald,,Calgaryherald.com,"Tegan & Sara revisit their youth in memoir about early life in Calgary Calgary Herald Reviews Tegan and Sara Hey, I'm Just Like You While compiling research for their new Exclaim! Tegan and Sara Rewrite the Queer Coming-of-Age Story The Atlantic Tegan and Sar…","Late in Tegan and Sara Quin’s new book about their formative years in Calgary, the twins go to a New Year’s Eve party that somehow leads to a harrowing car chase.
It’s one of the more surreal passages from High School, the Quin sisters’ often funny and occas… [+5377 chars]",2019-09-30,https://calgaryherald.com/entertainment/local-arts/tegan-amp-sara-revisit-their-youth-memoir-about-early-life-in-calgary,https://postmediacalgaryherald2.files.wordpress.com/2019/09/1001_arts_feat_tegan_and_sara-w.jpg
