title,author,source,description,content,pub_date,url,urlToImage
"Hurricane Lorenzo Blasts the Azores, Sets Its Sights on Ireland","Brian Kahn on Earther, shared by Andrew Couts to Gizmodo",Gizmodo.com,"Hurricane Lorenzo, the weirdest storm of the Atlantic hurricane season, struck the Azores on Wednesday and is forecast to continue its jaunt across the eastern Atlantic toward Ireland. It could make a rare landfall there with hurricane-force winds and crippli…","Hurricane Lorenzo, the weirdest storm of the Atlantic hurricane season, struck the Azores on Wednesday and is forecast to continue its jaunt across the eastern Atlantic toward Ireland. It could make a rare landfall there with hurricane-force winds and crippli… [+3155 chars]",2019-10-02,https://earther.gizmodo.com/hurricane-lorenzo-blasts-the-azores-sets-its-sights-on-1838701583,"https://i.kinja-img.com/gawker-media/image/upload/s--BA6qVe3p--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/yvvelyoh5ueifwav1x3p.jpg"
Hurricane Lorenzo Sets Record as Strongest Storm Observed So Far North and East in Atlantic,"Tom McKay on Earther, shared by Tom McKay to Gizmodo",Gizmodo.com,"Hurricane Lorenzo has set records as it blasts its way through the central Atlantic, becoming a category 5 hurricane on Saturday night before weakening back down to category 3 status by Sunday evening, CNN reported. Read more...","Hurricane Lorenzo has set records as it blasts its way through the central Atlantic, becoming a category 5 hurricane on Saturday night before weakening back down to category 3 status by Sunday evening, CNN reported.
The National Hurricane Center reported lat… [+3501 chars]",2019-09-30,https://earther.gizmodo.com/hurricane-lorenzo-sets-record-as-strongest-storm-on-rec-1838604479,"https://i.kinja-img.com/gawker-media/image/upload/s--B_LMcQr4--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/szcqhzscyxwsbmhmbaiw.jpg"
Hurricane Chasers: An Immigrant Work Force on the Trail of Extreme Weather,Miriam Jordan and William Widmer,The New York Times,"Itinerant, largely undocumented workers devoted to hurricane recovery in the U.S. have endured shabby housing and haphazard payments.","In Bay County, a nonprofit called Resilience Force has been meeting with immigrant workers, trying to organize them and lobby to improve conditions. Since Katrina, we have a new work force, Saket Soni, the groups executive director, told a large group at a re… [+1729 chars]",2019-10-05,https://www.nytimes.com/2019/10/05/us/hurricane-undocumented-immigrants-workers.html,https://static01.nyt.com/images/2019/10/06/us/06hurricane-workers02/00hurricane-workers02-facebookJumbo.jpg
It's Bomb Cyclone Time for the Northeast,"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo",Gizmodo.com,"Hurricane season may be winding down, but worry not, lovers of rapidly intensifying weather. Bomb cyclone season is upon us. Read more...","Hurricane season may be winding down, but worry not, lovers of rapidly intensifying weather. Bomb cyclone season is upon us.
Okay, so its not an official meteorological season, but storms that bomb out along the East Coast tend to happen in late fall through… [+2484 chars]",2019-10-16,https://earther.gizmodo.com/its-bomb-cyclone-time-for-the-northeast-1839104703,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/mf0azu5rcoxgzuam3rgn.gif"
"Typhoon, Cyclone or Hurricane? Different Names for the Same Storms",Mariel Padilla and Jennifer Jett,The New York Times,"Powerful tropical storms occur all around the world, but what they’re called depends on where they form.","The international date line serves as the Pacific Oceans dividing marker, so when a hurricane crosses it from east to west, it becomes a typhoon instead, and vice versa.
The same kinds of storms in the Southern Hemisphere are easier to keep straight.
In the… [+888 chars]",2019-10-13,https://www.nytimes.com/2019/10/12/us/12xp-typhoon-cyclone-hurricane-difference.html,https://static01.nyt.com/images/2019/10/12/multimedia/12xp-typhoon/12xp-typhoon-facebookJumbo.jpg
Aquatic hitchhikers might have taken a ride on Hurricane Dorian’s floodwaters,Justine Calma,The Verge,"Hurricane Dorian has passed, but people and ecosystems are still dealing with its fallout. In the wake of a major storm, it’s not just people who migrate. Plants and animals can hitch a ride on floodwaters, leading to the spread of invasive species.","Researchers are keeping an eye out for the Cuban treefrog to see if it spread to new areas thanks to Hurricane Dorian Hurricane Dorian has passed, but people and ecosystems are still dealing with its fallout. In the wake of a major storm, it’s not just people… [+6072 chars]",2019-10-02,https://www.theverge.com/2019/10/2/20895091/hurricane-dorian-flood-invasive-non-native-species,https://cdn.vox-cdn.com/thumbor/FVYbi2F1FIBzNnnpKDm2CZALyos=/0x174:2600x1535/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19252981/1154255863.jpg.jpg
Fall nor'easter strengthens into Subtropical Storm Melissa,"Dakin Andone, CNN",CNN,"The fall nor'easter spinning southeast of New England strengthened into Subtropical Storm Melissa on Friday, according to the National Hurricane Center.","(CNN)The fall nor'easter spinning southeast of New England strengthened into Subtropical Storm Melissa on Friday, according to the National Hurricane Center.
At 11 a.m. ET, the storm was about 190 miles south of Nantucket, Massachusetts with maximum sustain … [+498 chars]",2019-10-11,https://www.cnn.com/2019/10/11/weather/fall-noreaster-melissa/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191011112030-weather-melissa-satellite-20191011-super-tease.jpg
Hurricane force wind gusts to impact parts of California,,CNN,Another round of wind for California will bring an extended Santa Ana event to southern portions of the state.  Gusts as high as a category 1 hurricane along with dry conditions have prompted more red flag warnings.  Pedram Javaheri has the latest.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-10-29,https://www.cnn.com/videos/weather/2019/10/29/daily-weather-forecast-california-fires-wind-rain-snow.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191029043902-daily-weather-forecast-california-fires-wind-rain-snow-00000000-super-tease.jpg
"Two Years After Hurricane Harvey, One Group Says It Has Been Overlooked: Renters",Manny Fernandez,The New York Times,"Renters affected by Hurricane Harvey in Texas are criticizing the recovery effort, saying that state and federal officials cut them out of $5 billion in aid and focused instead on homeowners.","Renters who survived Harvey across the state lost their jobs, moved into new apartments with higher rents or lived in hotels, their cars or with relatives. Some found cheaper, more far-flung residences, and at least one woman was only able to afford her apart… [+1863 chars]",2019-10-11,https://www.nytimes.com/2019/10/11/us/hurricane-harvey-lawsuit-texas.html,https://static01.nyt.com/images/2019/10/11/us/11HARVEY-ortiz/11HARVEY-ortiz-facebookJumbo.jpg
Hurricane Dorian Spilled More Than a Million Gallons of Oil in the Bahamas,"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo",Gizmodo.com,"Nearly 1.5 million gallons of oil have spilled since Hurricane Dorian destroyed an oil storage facility on Grand Bahama Island last month. The worst part? Equinor, the company that owns the oil facility, still isn’t done cleaning up the mess, which means the …","Nearly 1.5 million gallons of oil have spilled since Hurricane Dorian destroyed an oil storage facility on Grand Bahama Island last month. The worst part? Equinor, the company that owns the oil facility, still isnt done cleaning up the mess, which means the f… [+2480 chars]",2019-10-07,https://earther.gizmodo.com/hurricane-dorian-spilled-than-a-million-gallons-of-oil-1838844023,"https://i.kinja-img.com/gawker-media/image/upload/s--h8jrKmXo--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/wppxixmajwzo3ej4damb.jpg"
Hurricane Dorian Oil Spill Has Reached Freshwater Resources in the Bahamas,"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo",Gizmodo.com,"Nearly 5 million gallons of oil spilled from a Bahamas facility in the wake of Hurricane Dorian. And now advocates have found evidence that the oil from the facility has made its way into nearby wetlands, pine forests, and mangroves. Read more...","Nearly 5 million gallons of oil spilled from a Bahamas facility in the wake of Hurricane Dorian. And now advocates have found evidence that the oil from the facility has made its way into nearby wetlands, pine forests, and mangroves. 
The Category 5 storm hi… [+2796 chars]",2019-10-17,https://earther.gizmodo.com/hurricane-dorian-oil-spill-has-reached-freshwater-resou-1839131927,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/md8chgkbknpstk2wc3zy.jpg"
"Tropical Storm Nestor Pops Up, Beelines for Florida's Gulf Coast","Brian Kahn on Earther, shared by Brian Kahn to Gizmodo",Gizmodo.com,"After a period of quiet in the Atlantic, tropical cyclone activity has once again picked up. Tropical Storm Nestor formed on Friday afternoon and is slated to impact the Gulf Coast Friday and into the weekend. Read more...","After a period of quiet in the Atlantic, tropical cyclone activity has once again picked up. Tropical Storm Nestor formed on Friday afternoon and is slated to impact the Gulf Coast Friday and into the weekend. 
The sprawling disturbance spans a huge portion … [+2481 chars]",2019-10-18,https://earther.gizmodo.com/tropical-storm-nestor-pops-up-beelines-for-floridas-gu-1839171918,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/asc1bgxeh81208yipi5h.gif"
"Fall began with 3 bizarre weather events -- record snowfall, a heat wave and a Category 5 hurricane","Leah Asmelash, CNN",CNN,"The first few days of the season haven't felt much like fall at all for many across the United States. From snow storms to heat waves, here's a look at three wild weather events that marked the start of season.","(CNN)Fall officially began on September 23, but clearly Mother Nature had other plans.
The first few days of the season haven't felt much like fall at all for many across the United States. From snow storms to heat waves hello? Did we miss something? What ha… [+2644 chars]",2019-10-05,https://www.cnn.com/2019/10/05/us/fall-weather-record-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190929041000-snow-september-sunday-03-super-tease.jpg
