title,author,source,description,content,pub_date,url,urlToImage
"Ukraine, Caught in a Storm",Sylvie Kauffmann,The New York Times,Trump’s threatening phone call underscored for Europe how Volodymyr Zelensky and his country face pressure on all sides.,"Indeed, the Trump mess could not come at a worse time for President Zelensky. Four months into his term, a big question mark still hangs over the direction this fast-learning political novice will choose for his country. He is from another planet, reckoned a … [+2050 chars]",2019-10-03,https://www.nytimes.com/2019/10/03/opinion/ukraine-trump.html,https://static01.nyt.com/images/2019/10/03/opinion/03Kauffmann/03Kauffmann-facebookJumbo.jpg
What is a nor'easter?,,CNN,CNN's Jennifer Gray explains what defines a storm as a nor'easter -- and it's not as simple as the storm hitting the Northeast.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-10-09,https://www.cnn.com/videos/weather/2016/01/20/noreaster-explainer-orig-nws.cnn,https://cdn.cnn.com/cnnnext/dam/assets/160120120158-noreaster-explainer-orig-nws-00002211-super-tease.jpg
Japan Prepares for Possible Hit by Super Typhoon Hagibis,Karen Zraick,The New York Times,"The center of the storm was in the Pacific Ocean, and could hit Tokyo this weekend.","A super typhoon in the Pacific Ocean could hit Japan on Saturday, potentially causing grave damage in Tokyo, experts said.
The center of Super Typhoon Hagibis was roughly 950 miles south of Tokyoas of Thursday morning local time, according to Brandon Bukunt,… [+720 chars]",2019-10-09,https://www.nytimes.com/2019/10/09/world/asia/japan-typhoon-hagibis.html,https://static01.nyt.com/images/2019/10/09/multimedia/09xp-typhoonSUB/09xp-typhoonSUB-facebookJumbo.jpg
Storm Bringing ‘Historic’ Snowfall to Northern Plains,Emily S. Rueb,The New York Times,"Blizzard conditions shuttered roads and schools in parts of North Dakota on Friday, as temperatures plummeted across the region.","Ahead of Denvers first snowfall of the season, the city had been basking in 80-degree weather. But on Friday, temperatures were at a record low, according to the weather service.
Billings, Mont., also felt the quick frost, and some parts of the state reporte… [+470 chars]",2019-10-11,https://www.nytimes.com/2019/10/11/us/north-dakota-weather-blizzard.html,https://static01.nyt.com/images/2019/10/11/multimedia/11xp-blizzard3/11xp-blizzard3-facebookJumbo.jpg
Japan Fights Floods in Wake of Typhoon Hagibis,Motoko Rich and Ben Dooley,The New York Times,"At least 10 people were killed in the super typhoon, the largest storm to strike Japan in decades.","At least two deaths and several landslides occurred even before the typhoon hit, and a 5.7-magnitude earthquake of shook Chiba, east of Tokyo,Saturday evening just before the storm made landfall.
Authorities had expected that Hagibis could rival the Kanogawa… [+1369 chars]",2019-10-13,https://www.nytimes.com/2019/10/12/world/asia/japan-typhoon-hagibis-dead.html,https://static01.nyt.com/images/2019/10/13/us/13japan-typhoon1/13japan-typhoon1-facebookJumbo.jpg
What Happened in the Impeachment Inquiry This Week?,Kaly Soto,The New York Times,Mick Mulvaney creates a storm. A meeting devolves into insults and finger-pointing. More testimony. And a resignation.,"A son of sharecroppers, Mr. Cummings fought tirelessly for his hometown, Baltimore, and became a key figure in the impeachment investigation. At the time of his death, he was chairman of the House Oversight Committee. On the panel, which is charged with maint… [+1275 chars]",2019-10-19,https://www.nytimes.com/2019/10/19/us/politics/what-happened-in-the-impeachment-inquiry-this-week.html,https://static01.nyt.com/images/2019/11/17/us/politics/17dc-mulvaney-sub/17dc-mulvaney-sub-facebookJumbo-v2.jpg
Fall nor'easter strengthens into Subtropical Storm Melissa,"Dakin Andone, CNN",CNN,"The fall nor'easter spinning southeast of New England strengthened into Subtropical Storm Melissa on Friday, according to the National Hurricane Center.","(CNN)The fall nor'easter spinning southeast of New England strengthened into Subtropical Storm Melissa on Friday, according to the National Hurricane Center.
At 11 a.m. ET, the storm was about 190 miles south of Nantucket, Massachusetts with maximum sustain … [+498 chars]",2019-10-11,https://www.cnn.com/2019/10/11/weather/fall-noreaster-melissa/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191011112030-weather-melissa-satellite-20191011-super-tease.jpg
"Northeast Storm: Powerful Winds Knock Out Power to 500,000",Ellen Barry,The New York Times,"Meteorologists were describing the storm as a “bomb cyclone,” in which masses of warm and cold air meet, creating a cyclonic effect.","BOSTON Roofs peeled off, falling trees brought down electric lines, and more than 500,000customers in New England were without power early Thursday as winds gusting up to 90 miles an hour swept up the East Coast.
Meteorologists have described the storm as a … [+428 chars]",2019-10-17,https://www.nytimes.com/2019/10/17/us/northeast-bomb-cyclone.html,https://static01.nyt.com/images/2019/10/17/us/17storm/17storm-facebookJumbo.jpg
Tropical Storm Nestor Leaves Path of Damage in Florida Panhandle,Mariel Padilla,The New York Times,"A string of tornadoes, some with winds of 100 miles per hour, uprooted trees, overturned vehicles and ripped off roofs.","Tropical Storm Nestor spawned a string of tornadoes that damaged homes, uprooted trees and overturned vehicles as it moved inland over the Florida Panhandle from the Gulf of Mexico on Friday before it was expected to head to the North Carolina coast, forecast… [+587 chars]",2019-10-19,https://www.nytimes.com/2019/10/19/us/nestor-florida-tropical-storm.html,https://static01.nyt.com/images/2019/10/19/multimedia/19xp-nestor/19xp-nestor-facebookJumbo.jpg
"Tropical Storm Nestor Pops Up, Beelines for Florida's Gulf Coast","Brian Kahn on Earther, shared by Brian Kahn to Gizmodo",Gizmodo.com,"After a period of quiet in the Atlantic, tropical cyclone activity has once again picked up. Tropical Storm Nestor formed on Friday afternoon and is slated to impact the Gulf Coast Friday and into the weekend. Read more...","After a period of quiet in the Atlantic, tropical cyclone activity has once again picked up. Tropical Storm Nestor formed on Friday afternoon and is slated to impact the Gulf Coast Friday and into the weekend. 
The sprawling disturbance spans a huge portion … [+2481 chars]",2019-10-18,https://earther.gizmodo.com/tropical-storm-nestor-pops-up-beelines-for-floridas-gu-1839171918,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/asc1bgxeh81208yipi5h.gif"
