title,author,source,description,content,pub_date,url,photo_url
California Fires Live Updates: Strong Winds May Expand Blazes,The New York Times,The New York Times,The Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire departments across the state.,"Fighting fires including immense untamed wildfires requires a combination of brutal force, endurance and skill. From the air, firefighters may release water and fire retardant, which can slow its spread but will not extinguish the raging flames. The most effe… [+1409 chars]",2019-10-29,https://www.nytimes.com/2019/10/29/us/california-fires-kincade-getty.html,https://static01.nyt.com/images/2019/10/29/us/29fires-01/merlin_163465491_fb5b4c2d-21a4-4f7c-b47c-0fb4d1da1c0a-facebookJumbo.jpg
Airbnb hosts are offering free housing to thousands of California wildfire evacuees,"Elizabeth Wolfe and Saeed Ahmed, CNN",CNN,"California is in a state of emergency as wildfires rage through communities, leaving thousands displaced from their homes and searching for a safe place to stay.",,2019-10-29,https://www.cnn.com/2019/10/29/us/california-wildfire-airbnb-free-housing-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191027141639-05-calif-fires-1027-super-tease.jpg
Getty fire in LA likely caused by tree branch falling on power lines: fire officials,Reuters Editorial,Reuters,"A major wildfire burning in Los Angeles near the famed Getty Center art museum was likely sparked by a tree branch falling on power lines in high winds, fire officials said on Tuesday.","(Reuters) - A major wildfire burning in Los Angeles near the famed Getty Center art museum was likely sparked by a tree branch falling on power lines in high winds, fire officials said on Tuesday. 
The Los Angeles Fire Department said the preliminary determi… [+158 chars]",2019-10-29,https://www.reuters.com/article/us-california-wildfire-cause-idUSKBN1X82R8,https://s3.reutersmedia.net/resources/r/?m=02&d=20191029&t=2&i=1446334802&w=1200&r=LYNXMPEF9S205
Wildfires and blackouts in California: The situation so far - The Globe and Mail,,The Globe And Mail,"Wildfires and blackouts in California: The situation so far The Globe and Mail Lebron James, Arnold Schwarzenegger among thousands fleeing California wildfire Global News Power lines may be to blame for 2 of the raging wildfires in California CBC.ca Kincade F…","Windsor, Calif., Oct. 27: Firefighters battle the Kincade Fire on a farm in Sonoma County, part of California's wine country. The state's governor has declared a statewide emergency.
PHILIP PACHECO/AFP via Getty Images
The latest
<ul><li>California utility… [+8899 chars]",2019-10-29,https://www.theglobeandmail.com/world/article-wildfires-and-blackouts-in-california-the-situation-so-far/,https://www.theglobeandmail.com/resizer/t_z1FIFGXiftigratIT7NM-geu0=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/6Z4WLGWSORCG7O3W2V74K7GYPY.jpg
How to Help Evacuees of the Kinkade Fire,Josh Ocampo,Lifehacker.com,"As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a…","As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a… [+3000 chars]",2019-10-29,https://lifehacker.com/how-to-help-evacuees-of-the-kinkade-fire-1839438952,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bow2iaspb6zbzyjriv4m.jpg"
"Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained - KGO-TV",,Abc7news.com,"Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained KGO-TV Fears of More Extreme Weather as Kincade Fire Swells The New York Times Firefighters Battle Wildfires in Los Angeles VOA News Fire defenses rush to defend Cali…","SONOMA COUNTY, Calif. (KGO) -- The Kincade Fire has spread to 75,415 acres and is 15 percent contained. Of the 124 structures destroyed, Cal Fire says 57 are homes. Of the 23 structures damaged, officials say 15 are homes.Cal Fire issued an evacuation warning… [+6219 chars]",2019-10-29,https://abc7news.com/officials-say-kincade-fire-is-now-75415-acres-15-percent-contained/5655955/,"https://cdn.abcotvs.com/dip/images/5654877_102819-kgo-kincade-fire-joel-tina-chandler-in-sr-house-img_Image_00-00-33,17.jpg?w=1600"
"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff - Sacramento Bee",,Sacbee.com,"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff Sacramento Bee A wildfire is getting close to the Getty Museum. Here's why they're not moving the art CNN Climate Change Is Burning Down California. It's Time We Stop…",,2019-10-29,https://www.sacbee.com/news/california/fires/article236769888.html,
Firefighters battle N. Calif. wine country blaze,"AP Domestic, AP",USA Today,"Firefighters continue to attack a massive wildfire burning in northern California wine country ahead of another major wind event. The blaze has grown to at least 103 square miles, destroying 96 buildings and threatening 80,000 more structures. (Oct. 28)",,2019-10-29,https://www.usatoday.com/videos/news/nation/2019/10/29/firefighters-battle-n-calif-wine-country-blaze/2492525001/,https://www.gannett-cdn.com/authoring/video-thumbnails/495ffe29-19bc-4a6d-a6e2-8b48d66b9807_poster.jpg
Wildfire Victims Don't Have Cell Service Thanks to Greedy Telecoms,"Karl Bode, Emanuel Maiberg",Vice News,Letting cheapskate corporations dictate government policy doesn’t end well for disaster victims—or anybody else.,"The California wildfires and PG&amp;Es incompetence are having a terrifying impact on the residents of California, who face not only immense risk to life and property, but a growing number of power and telecom-related outages that make a bad problem worse. 
… [+5548 chars]",2019-10-29,https://www.vice.com/en_us/article/ywa4p5/wildfire-victims-dont-have-cell-service-thanks-to-greedy-telecoms,"https://video-images.vice.com/articles/5db88589d8e59700927334de/lede/1572374377351-GettyImages-591911482.jpeg?crop=1xw:0.84375xh;center,center&resize=1200:*"
The Latest: Wildfire in California wine country grows,,Yahoo.com,A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames. California Department of Forestry and Fire Protection officials said Tuesday that the fire in Sonoma County north of San …,"SANTA ROSA, Calif. (AP) The Latest on planned power outages to prevent California wildfires (all times local):
8:25 a.m.
A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames… [+2842 chars]",2019-10-29,https://finance.yahoo.com/news/latest-california-utility-begins-phase-143251715.html,https://s.yimg.com/uu/api/res/1.2/AhKsrgww6Qd2mosG5DYw4A--~B/aD0xOTMwO3c9Mjk1MztzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/364a105b0e50b5f9be73761e27e77184
'When I smelled that smoke... here we go again': Weary Californians seek shelter amid latest wildfire outbreak,"USA TODAY, Marco della Cava, USA TODAY",USA Today,"Chased from their homes by the Kincade Fire, California evacuees take refuge at Veterans Memorial Auditorium in Santa Rosa, other Red Cross shelters.","Fire crews in Northern California are working to smother wildfires using aircraft to drop water and fire retardant before windstorms return to the area. About 156,000 people were under mandatory evacuation orders. (Oct. 29)
 AP, AP
SANTA ROSA, Calif. Built … [+8797 chars]",2019-10-30,https://www.usatoday.com/story/news/nation/2019/10/29/kincade-fire-california-wildfire-evacuees-angry-and-thankful/2502227001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/10/30/USAT/a09c794d-1260-4ebd-940e-6f66e77dee94-Puppies.jpg?crop=1820,1024,x0,y136&width=1600&height=800&fit=bounds"
Worst performing circuits mapped with fire risk,Nathan Yau,Flowingdata.com,This month PG&E has been shutting down power to thousands of households in northern California because of high winds and wildfire risk. A lot of electrical equipment in the area is dated and in…,"The Warriors’ Championship Path
As expected, this time, the Golden State Warriors won the …",2019-10-29,https://flowingdata.com/2019/10/29/worst-performing-circuits-mapped-with-fire-risk/,https://i1.wp.com/flowingdata.com/wp-content/uploads/2019/10/Fire-risk-and-bad-circuits.png?fit=1200%2C804&ssl=1
Firefighters Brace For 'Critical 24-Hour Window' As Winds Pick Up In California,Colin Dwyer,Npr.org,"The Kincade fire has burned over 75,000 acres in Northern California, while another blaze is 5 percent contained in Los Angeles. Gusty conditions will make the job even tougher for firefighters.","A fallen utility pole operated by Pacific Gas and Electric rests Monday on a burned-out property in Healdsburg, Calif. The community was just one of many in Sonoma County affected by the Kincade fire, which has swelled to a size larger than San Francisco.
Ph… [+3814 chars]",2019-10-29,https://www.npr.org/2019/10/29/774355965/firefighters-brace-for-critical-24-hour-window-as-winds-pick-up-in-california,https://media.npr.org/assets/img/2019/10/29/gettyimages-1178671610_wide-b8afa78484f15e2da0ba450ca5c36e118b6ddf90.jpg?s=1400
The dangers – physical and psychological – of gender reveal parties,https://www.facebook.com/bbcnews,BBC News,A woman's death at a gender reveal party has prompted wider questions about the trend.,"Image copyrightParty DelightsImage caption
 Party retailers have reported a huge sales increase in gender reveal merchandise
On Saturday, a woman died at a gender reveal party - a celebration announcing whether expectant parents will be having a boy or girl… [+6475 chars]",2019-10-30,https://www.bbc.co.uk/news/world-us-canada-50207452,https://ichef.bbci.co.uk/news/1024/branded_news/7502/production/_109445992_genderreveal.jpg
Tuesday assorted links,Tyler Cowen,Marginalrevolution.com,"1. Andrew Roberts on Napoleon. 2. Greg Mankiw quits the Republican Party. 3. Has there been a Trump deregulation? 4. Bryan Caplan on his new graphic novel with Zack Weinersmith, Open Borders. 5. Does wildfire mitigation work? 6. Good Ted Nordhaus thread on th…","2.""Maybe someday, the party will return to having honorable leaders like Bush, McCain, and Romney. Until then, count me out."" 
Yeaaahhh... Okay",2019-10-29,https://marginalrevolution.com/marginalrevolution/2019/10/tuesday-assorted-links-236.html,https://marginalrevolution.com/wp-content/uploads/2016/10/MR-logo-thumbnail.png
What Happens To Soil Microbes After Wildfire?,"Linh Anh Cat, Contributor, Linh Anh Cat, Contributor https://www.forbes.com/sites/linhanhcat/",Forbes.com,"After wildfire, soil microbes undergo changes that then impact humans. From culinary delicacies to toxic compounds, check out three ways wildfires impact soil microbes.","Flames close in on cars parked along a country road at the Blue Cut Fire on August 17, 2016 near ... [+] Wrightwood, California.
Getty Images
Californias fire season is in full force, with the Kincade fire currently burning in the Bay Area, and the Getty Fi… [+6785 chars]",2019-10-29,https://www.forbes.com/sites/linhanhcat/2019/10/29/soil-microbes-after-wildfire/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F591628100%2F960x0.jpg
"Celebrities flee, multimillion-dollar homes burn in Los Angeles wildfire",Reuters,Indianexpress.com,"Among neighborhoods under evacuation orders was the posh area of Brentwood, a section on the west side of the city. On the northern edge of Brentwood, a cluster of several multimillion-dollar homes were reduced to smoldering debris along a street festooned wi…","Firefighters work on a house destroyed by a wildfire called the Getty Fire in Los Angeles. (Source: AP)
A fast-moving wildfire on Monday destroyed at least five multimillion-dollar homes in one of the wealthiest neighborhoods in Los Angeles and forced celebr… [+3155 chars]",2019-10-29,https://indianexpress.com/article/world/celebrities-flee-multimillion-dollar-homes-burn-in-los-angeles-wildfire-6092382/,https://images.indianexpress.com/2019/10/wildfire-california-759.jpg?w=759
The Conversation: How to protect taxpayers after the California wildfires end and the rebuilding starts,Alexander Smith,Marketwatch.com,An approach that is far softer than a heavy-handed building ban could achieve the same ends.,"Almost 200,000 Californians have been ordered to evacuate as ferocious winds drove several wildfires near Los Angeles, San Francisco and elsewhere. Many fear they may yet again return to a home ravaged by fire.
For Californians in fire-prone areas, this has … [+5009 chars]",2019-10-29,https://www.marketwatch.com/story/how-to-protect-taxpayers-after-the-california-wildfires-end-and-the-rebuilding-starts-2019-10-29,http://s.marketwatch.com/public/resources/MWimages/MW-HU266_califo_ZG_20191029173841.jpg
Photos: The aftermath of the fast-moving Kincade fire,Johnny Simon,Qz.com,"The fire is only 15% contained, with ferocious winds on the horizon.","The Kincade fire in northern Californias Sonoma County has burned more than 74,000 acres so far, and is expected to grow as fast moving winds continue to fuel it.
As of this morning it was 15% contained, up from 5% few days ago, but in that time the size of … [+1611 chars]",2019-10-29,https://qz.com/1737544/the-aftermath-of-the-fast-moving-kincade-fire-in-photos/,https://cms.qz.com/wp-content/uploads/2019/10/GettyImages-1178685399-e1572367746722.jpg?quality=75&strip=all&w=1400
Lakers Forced To Play Half-Court Against Grizzlies As Wildfire Consumes South End Of Staples Center,"The Onion on Sports, shared by The Onion to The Onion",Theonion.com,"All the latest sports coverage from The Onion, America's finest news source.",,2019-10-30,https://sports.theonion.com/lakers-forced-to-play-half-court-against-grizzlies-as-w-1839453598,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/xvs14baim5qt5b2m4blw.jpg"
Kincade Fire: New evacuation warning issued for parts of Lake County - KGO-TV,,Abc7news.com,"Kincade Fire: New evacuation warning issued for parts of Lake County KGO-TV Here's every fire burning in Southern California today KABC-TV Wildfire in Los Angeles: Over 40,000 told to evacuate, emergency declared WAVY.com Kincade Fire: CAL FIRE says Sonoma Co…","SONOMA COUNTY, Calif. (KGO) -- The Kincade Fire has spread to 74,324 acres and is 15 percent contained. Of the 123 structures destroyed, CAL FIRE says 57 are homes. Of the 20 structures damaged, officials say 12 are homes.CAL FIRE issued an evacuation warning… [+6221 chars]",2019-10-29,https://abc7news.com/officials-say-kincade-fire-is-now-74000-acres-15-percent-contained/5655955/,"https://cdn.abcotvs.com/dip/images/5654877_102819-kgo-kincade-fire-joel-tina-chandler-in-sr-house-img_Image_00-00-33,17.jpg?w=1600"
California: fierce winds may spread blazes as millions lose power,"Mario Koran in Santa Rosa, Vivian Ho in Oakland and agencies",Yahoo.com,"* Kincade fire threatens 90,000 structures as new blackouts planned * ‘Extreme red flag warning’ issued in south Fire near the Getty Museum in Los Angeles on Monday. Photograph: Xinhua/Barcroft MediaMillions of Californians prepared for days of darkness as th…","Photograph: Xinhua/Barcroft Media
Millions of Californians prepared for days of darkness as the United States largest utility once again said it was switching off power to prevent powerful winds from damaging its equipment and sparking more fires.
Meanwhile… [+5844 chars]",2019-10-29,https://news.yahoo.com/california-fierce-winds-may-spread-144526465.html,https://s.yimg.com/ny/api/res/1.2/1UrjkR7WkTtRVWr5hrNRzg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEwMDA7aD02MDA-/https://s.yimg.com/uu/api/res/1.2/TiGGops5zbtitenHq2tF8A--~B/aD0zMDA7dz01MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-GB/the_guardian_765/e033d9349c195722e5da10679d33d097
Van Gogh and Rembrandt masterpieces will stay inside Getty Center as wildfire approaches,Nick Allen,Telegraph.co.uk,"The defences of the iconic Getty Center art museum in Los Angeles were being tested as a wildfire raged nearby, but officials said masterpieces would not be removed.","There is a massive water tank, containing one million gallons, under the car park to fight approaching fires, and the gardens contain fire-resistant shrubs.
Outside walls are covered with 1.2 million square feet of thick, fire-resistant travertine stone, and… [+560 chars]",2019-10-29,https://www.telegraph.co.uk/news/2019/10/29/van-gogh-rembrandt-masterpieces-will-stay-inside-getty-center/,https://www.telegraph.co.uk/content/dam/news/2019/10/29/TELEMMGLPICT000214448204-xlarge_trans_NvBQzQNjv4Bq3480UNUU8UfSxDSaY1n7MGtT0gK_6EfZT336f62EI5U.jpeg?imwidth=1200
Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight - LAist,,Laist.com,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight LAist A wildfire is getting close to the Getty Museum. Here's why they're not moving the art CNN UCLA to resume classes Tuesday as Getty fire continues to move away from campus Daily…,"Hand crews work a wildfire-damaged hillside as the Getty Fire burns in Mandeville Canyon, Oct. 28, 2019, in Los Angeles. (Marcio Jose Sanchez/Getty Images)
Jump to:Evacuations|Closures | Air Quality |Weather Conditions |Additional Resources
The weather has … [+9507 chars]",2019-10-29,https://laist.com/2019/10/29/getty-fire-day-2-evacuations-closures.php,https://laistassets.scprdev.org/i/acc9fc26469bfe11c756fe68555ec8a8/5db7710fc92b3500089d2995-eight.jpg
"As wildfire rages in Los Angeles, city tells wealthy to warn staff of dangers",Reuters,The Times of India,"LA officials reminded wealthy evacuees to alert their service employees of the danger in light of news reports that several turned up for work at some of the 10,000 homes and businesses under smoky skies in the mandatory evacuation zone.","LOS ANGELES: A wildfire raged through some of Los Angeles' upscale neighborhoods on Tuesday, prompting city officials to chide wealthy evacuees to remember to tell their housekeepers and gardeners not to enter the danger zone.
Wind-driven blazes were burning… [+3202 chars]",2019-10-29,https://economictimes.indiatimes.com/news/international/world-news/as-wildfire-rages-in-los-angeles-city-tells-wealthy-to-warn-staff-of-dangers/articleshow/71810159.cms,"https://img.etimg.com/thumb/msid-71810223,width-1070,height-580,imgsize-639011,overlay-economictimes/photo.jpg"
57 homes destroyed as Kincade Fire continues to burn in Sonoma County - KCRA Sacramento,KCRA Staff,Kcra.com,"57 homes destroyed as Kincade Fire continues to burn in Sonoma County KCRA Sacramento Kincade Fire: Checking in with evacuees in Sonoma County ABC10 Kincade Fire: Harrowing dashcam video shows San Francisco firefighters driving into flames, embers hitting win…","SONOMA COUNTY, Calif. —More than 80,000 homes remain threatened by a 75,000-acre wildfire thats burning in Sonoma County.
The Kincade Fire has grown to 75,415 acres -- roughly the size of the city of Sacramento -- as of Tuesday morning, according to Cal Fire… [+3577 chars]",2019-10-29,https://www.kcra.com/article/kincade-fire-sonoma-county/29622545,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/vlcsnap-2019-10-25-19h15m45s622-1572229918.png?crop=1.00xw:1.00xh;0,0&resize=1200:*"
Why The Getty Museum’s Art Pieces Don’t Need To Be Evacuated During Wildfires,"Priya Shukla, Contributor, Priya Shukla, Contributor https://www.forbes.com/sites/priyashukla/",Forbes.com,"The Getty Museum was built to withstand wildfires, which is why its artwork does not need to be evacuated.","LOS ANGELES, Oct. 28, 2019 -- Fire is seen near Getty Center in Los Angeles, the United States, Oct. ... [+] 28, 2019. Thousands of residents were forced to evacuate their homes after a fast-moving wildfire erupted early Monday morning near the famous Getty C… [+5791 chars]",2019-10-29,https://www.forbes.com/sites/priyashukla/2019/10/29/why-the-getty-museums-art-pieces-dont-need-to-be-evacuated-during-wildfires/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F1178703011%2F960x0.jpg
Edison International (EIX) Q3 2019 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribers),Fool.com,"EIX earnings call for the period ending September 30, 2019.","Image source: The Motley Fool.
Edison International (NYSE:EIX)Q3 2019 Earnings CallOct 29, 2019, 4:30 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good afternoon an… [+57522 chars]",2019-10-30,https://www.fool.com/earnings/call-transcripts/2019/10/29/edison-international-eix-q3-2019-earnings-call-tra.aspx,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg
"Top Ukraine expert appears before House panels, Game 6 of the World Series: 5 things to know Tuesday","USA TODAY, Editors, USA TODAY",USA Today,"Trump's top Ukraine expert appears before House panels, Game 6 of the World Series, California continues to battle wildfires and more news to know Tuesday.","Ukraine expert scheduled to appear as part of Trump impeachment inquiry
Lt. Col. Alexander Vindman, a top Trump administration Ukraine expert, is scheduled to appear before House panels Tuesday as part of the impeachment inquiry investigation. Vindman, who s… [+4204 chars]",2019-10-29,https://www.usatoday.com/story/news/2019/10/29/impeachment-game-6-world-series-chicago-schools-5-things-know/2485327001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/352c73c0cfa53d31e8784787bd64cd4a6de0310c/c=0-172-2657-1667/local/-/media/2019/10/29/USATODAY/usatsports/usatsi_13558636-e1572298373224.jpg?width=1600&height=800&fit=crop
"Fort McMurray residents who lost it all in wildfire face delays, liens and lawsuits in fight with builder",Katie Nicholson,CBC News,"The Pendergasts' home was reduced to six inches of ash after a wildfire tore through Fort McMurray, Alta., in May 2016. What followed was no easier. They say their battle with the developer they hired to rebuild their home left them frustrated by months of de…","The developer promised people who'd lost everything in the wildfire that ravaged Fort McMurray, Alta., that it would rebuild their homes so they could ""get their lifestyle back.""
But some of the folks who signed with BristleCone Homes say they faced a slew o… [+10954 chars]",2019-10-29,https://www.cbc.ca/news/canada/fort-mcmurray-fire-rebuild-delays-lawsuits-1.5338762,https://i.cbc.ca/1.5338891.1572304056!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/pendergast.jpg
