author,content,description,photo_url,pub_date,source,title,url
The New York Times,"Fighting fires including immense untamed wildfires requires a combination of brutal force, endurance and skill. From the air, firefighters may release water and fire retardant, which can slow its spread but will not extinguish the raging flames. The most effe… [+1409 chars]",The Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire departments across the state.,https://static01.nyt.com/images/2019/10/29/us/29fires-01/merlin_163465491_fb5b4c2d-21a4-4f7c-b47c-0fb4d1da1c0a-facebookJumbo.jpg,2019-10-29,The New York Times,California Fires Live Updates: Strong Winds May Expand Blazes,https://www.nytimes.com/2019/10/29/us/california-fires-kincade-getty.html
"Elizabeth Wolfe and Saeed Ahmed, CNN",,"California is in a state of emergency as wildfires rage through communities, leaving thousands displaced from their homes and searching for a safe place to stay.",https://cdn.cnn.com/cnnnext/dam/assets/191027141639-05-calif-fires-1027-super-tease.jpg,2019-10-29,CNN,Airbnb hosts are offering free housing to thousands of California wildfire evacuees,https://www.cnn.com/2019/10/29/us/california-wildfire-airbnb-free-housing-trnd/index.html
Reuters Editorial,"(Reuters) - A major wildfire burning in Los Angeles near the famed Getty Center art museum was likely sparked by a tree branch falling on power lines in high winds, fire officials said on Tuesday. 
The Los Angeles Fire Department said the preliminary determi… [+158 chars]","A major wildfire burning in Los Angeles near the famed Getty Center art museum was likely sparked by a tree branch falling on power lines in high winds, fire officials said on Tuesday.",https://s3.reutersmedia.net/resources/r/?m=02&d=20191029&t=2&i=1446334802&w=1200&r=LYNXMPEF9S205,2019-10-29,Reuters,Getty fire in LA likely caused by tree branch falling on power lines: fire officials,https://www.reuters.com/article/us-california-wildfire-cause-idUSKBN1X82R8
,"Windsor, Calif., Oct. 27: Firefighters battle the Kincade Fire on a farm in Sonoma County, part of California's wine country. The state's governor has declared a statewide emergency.
PHILIP PACHECO/AFP via Getty Images
The latest
<ul><li>California utility… [+8899 chars]","Wildfires and blackouts in California: The situation so far The Globe and Mail Lebron James, Arnold Schwarzenegger among thousands fleeing California wildfire Global News Power lines may be to blame for 2 of the raging wildfires in California CBC.ca Kincade F…",https://www.theglobeandmail.com/resizer/t_z1FIFGXiftigratIT7NM-geu0=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/6Z4WLGWSORCG7O3W2V74K7GYPY.jpg,2019-10-29,The Globe And Mail,Wildfires and blackouts in California: The situation so far - The Globe and Mail,https://www.theglobeandmail.com/world/article-wildfires-and-blackouts-in-california-the-situation-so-far/
Josh Ocampo,"As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a… [+3000 chars]","As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bow2iaspb6zbzyjriv4m.jpg",2019-10-29,Lifehacker.com,How to Help Evacuees of the Kinkade Fire,https://lifehacker.com/how-to-help-evacuees-of-the-kinkade-fire-1839438952
,"SONOMA COUNTY, Calif. (KGO) -- The Kincade Fire has spread to 75,415 acres and is 15 percent contained. Of the 124 structures destroyed, Cal Fire says 57 are homes. Of the 23 structures damaged, officials say 15 are homes.Cal Fire issued an evacuation warning… [+6219 chars]","Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained KGO-TV Fears of More Extreme Weather as Kincade Fire Swells The New York Times Firefighters Battle Wildfires in Los Angeles VOA News Fire defenses rush to defend Cali…","https://cdn.abcotvs.com/dip/images/5654877_102819-kgo-kincade-fire-joel-tina-chandler-in-sr-house-img_Image_00-00-33,17.jpg?w=1600",2019-10-29,Abc7news.com,"Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained - KGO-TV",https://abc7news.com/officials-say-kincade-fire-is-now-75415-acres-15-percent-contained/5655955/
,,"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff Sacramento Bee A wildfire is getting close to the Getty Museum. Here's why they're not moving the art CNN Climate Change Is Burning Down California. It's Time We Stop…",,2019-10-29,Sacbee.com,"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff - Sacramento Bee",https://www.sacbee.com/news/california/fires/article236769888.html
"AP Domestic, AP",,"Firefighters continue to attack a massive wildfire burning in northern California wine country ahead of another major wind event. The blaze has grown to at least 103 square miles, destroying 96 buildings and threatening 80,000 more structures. (Oct. 28)",https://www.gannett-cdn.com/authoring/video-thumbnails/495ffe29-19bc-4a6d-a6e2-8b48d66b9807_poster.jpg,2019-10-29,USA Today,Firefighters battle N. Calif. wine country blaze,https://www.usatoday.com/videos/news/nation/2019/10/29/firefighters-battle-n-calif-wine-country-blaze/2492525001/
"Karl Bode, Emanuel Maiberg","The California wildfires and PG&amp;Es incompetence are having a terrifying impact on the residents of California, who face not only immense risk to life and property, but a growing number of power and telecom-related outages that make a bad problem worse. 
… [+5548 chars]",Letting cheapskate corporations dictate government policy doesn’t end well for disaster victims—or anybody else.,"https://video-images.vice.com/articles/5db88589d8e59700927334de/lede/1572374377351-GettyImages-591911482.jpeg?crop=1xw:0.84375xh;center,center&resize=1200:*",2019-10-29,Vice News,Wildfire Victims Don't Have Cell Service Thanks to Greedy Telecoms,https://www.vice.com/en_us/article/ywa4p5/wildfire-victims-dont-have-cell-service-thanks-to-greedy-telecoms
,"SANTA ROSA, Calif. (AP) The Latest on planned power outages to prevent California wildfires (all times local):
8:25 a.m.
A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames… [+2842 chars]",A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames. California Department of Forestry and Fire Protection officials said Tuesday that the fire in Sonoma County north of San …,https://s.yimg.com/uu/api/res/1.2/AhKsrgww6Qd2mosG5DYw4A--~B/aD0xOTMwO3c9Mjk1MztzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/364a105b0e50b5f9be73761e27e77184,2019-10-29,Yahoo.com,The Latest: Wildfire in California wine country grows,https://finance.yahoo.com/news/latest-california-utility-begins-phase-143251715.html
