author,content,description,photo_url,pub_date,source,title,url
Eric Niiler,"People who live anywhere near the Missouri River must be pretty worn out by now. After near-record floods last spring that affected more than 14 million people, many residents thought the worst was over. But recent heavy rains have kept water levels high, mak… [+3571 chars]","When the government offered to buy up houses in flood zones, wealthier homeowners took advantage, while poorer residents stayed put or fled.","https://media.wired.com/photos/5d9dd920cdc4580008379b1d/master/w_2560,c_limit/Science_flooding_.jpg",2019-10-09,Wired,Wealthy Counties Benefited Most From a Flood Relief Program,https://www.wired.com/story/wealthy-counties-benefited-most-from-a-flood-relief-program/
Vivian Wang,"But for the challengers, running even with a near-guarantee of defeat  has few downsides. They can raise thousands off Ms. Ocasio-Cortezs name alone; earn exposure for future campaigns; and bask in the attention, even if only for a short time.
For her part, … [+1581 chars]",The first-term congresswoman has attracted a flood of Republican and Democratic challengers. Money is flowing in all directions.,https://static01.nyt.com/images/2019/10/15/nyregion/00aoc1/00aoc1-facebookJumbo.jpg,2019-10-18,The New York Times,Ocasio-Cortez Will Be Very Tough to Beat. Why Are 11 People Trying?,https://www.nytimes.com/2019/10/18/nyregion/aoc-2020-opponents.html
Alyse Stanley,"Looks like there will be at least one online safe haven from the flood of political ads our feeds see every election season: TikTok, of all places.
The popular short-form video app will no longer run ads from politicians or candidates at any level of governm… [+1827 chars]","Looks like there will be at least one online safe haven from the flood of political ads our feeds see every election season: TikTok, of all places. Read more...","https://i.kinja-img.com/gawker-media/image/upload/s--FR_bYFbs--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/wl9bqpjiwelw10f5ctha.png",2019-10-04,Gizmodo.com,TikTok Kicks Political Ads Off Its Platform Because Screw That Noise,https://gizmodo.com/tiktok-kicks-political-ads-off-its-platform-because-scr-1838763756
https://www.facebook.com/bbcnews,,Satellite images show extent of flooding as Japanese rivers burst their banks.,https://ichef.bbci.co.uk/news/1024/branded_news/1822E/production/_109226889_kawagoe_afp.jpg,2019-10-14,BBC News,Typhoon Hagibis: Satellites show Japan rivers in flood,https://www.bbc.co.uk/news/world-asia-pacific-50043180
Motoko Rich,"In Kawasaki, an industrial city between Tokyo and Yokohama where about 900,000 people had been advised to evacuate on Saturday, many areas were left underwater. In Fukushima, which was hit by the nuclear meltdown that followed an earthquake and tsunami in 201… [+641 chars]","Japan, which prides itself on its robust infrastructure and disaster preparedness, was humbled by the hard hit that hurt even major metropolitan areas.",https://static01.nyt.com/images/2019/10/13/world/13japan-recovery2sub/13japan-recovery2sub-facebookJumbo.jpg,2019-10-13,The New York Times,"After Typhoon, Dramatic Rescues of Residents Trapped by Floods",https://www.nytimes.com/2019/10/13/world/asia/japan-typhoon-rescue.html
Mose Buchele,"Hurricane Harvey's devastating flooding caught many homeowners by surprise, and prompted support for more disclosure about flood risk.
Win McNamee/Getty Images
When Arthur Mosely moved to East Austin in the 1980's he didn't worry about flooding. His propert… [+4917 chars]","In many places there's no requirement to tell a home buyer if a house is at risk of flooding, even as climate change increases that risk.  Some hope a new Texas law will be a national model.",https://media.npr.org/assets/img/2019/10/25/gettyimages-841052414_wide-042483d0e78e67e2dd7f9c76780395592c5723d2.jpg?s=1400,2019-10-27,Npr.org,"In Texas, Home Sellers Must Now Disclose More About The Risk Of Flooding",https://www.npr.org/2019/10/27/772996585/in-texas-home-sellers-must-now-disclose-more-about-the-risk-of-flooding
Max Golembo,"Eleven states are under flood and flash flood alerts Tuesday morning.
Interested in Weather?
Add Weather as an interest to stay up to date on the latest Weather news, video, and analysis from ABC News.
A cold front combined with tropical moisture from the … [+1360 chars]",Eleven states are under flood and flash flood alerts Tuesday morning.,https://s.abcnews.com/images/US/wisconsin-flooding-20191001_hpMain_20191001-074035_16x9_992.jpg,2019-10-01,ABC News,Flooding threatens millions from New Mexico to Michigan as record heat warms South,https://abcnews.go.com/US/flooding-threatens-millions-mexico-michigan-record-heat-continues/story?id=65975247
Hannah Jiang,"DAVENPORT, IOWA — During a year of historic flooding across the Midwest and the South, Davenport, Iowa was unprepared for the waters that hit several blocks of its downtown. 
The community is now grappling with what went wrong — and what comes next — for its… [+8661 chars]","2019 has seen the most prolonged and widespread flooding in US history. Davenport, Iowa was just one of many places hit by record-setting waters, with downtown businesses expecting to lose $30 million in revenue and wages over the next year. As the largest co…",https://image.businessinsider.com/5daf2388cc4a0a7d3b7d61b4?width=1200&format=jpeg,2019-10-22,Business Insider,How record flooding in the US is transforming this Midwestern city,https://www.businessinsider.com/record-flooding-changing-davenport-iowa-mississippi-river-2019-10
James Barron,"Andy Mulvihill called the deaths at Action Park devastating to me. 
But he added, three of those deaths were drownings. We pulled out thousands and thousands of people who were people who had no business in the water.
And yet, it was exhilarating. For some,… [+868 chars]","Action Park was infamous for bruises, scars, broken bones — even death. Now it is the subject of a documentary.",https://static01.nyt.com/images/2019/09/26/nyregion/00actionpark-copy/00actionpark-copy-facebookJumbo.jpg,2019-10-19,The New York Times,‘People Were Bleeding All Over’: America’s Most Dangerous Amusement Park,https://www.nytimes.com/2019/10/19/nyregion/action-park-movie.html
Andy Moser,"Halloween horror came early for one Iowa family when their basement flooded with five inches of animal blood.
According to WHO Channel 13 News, the flood happened after a meat locker next to the family's home discarded animal blood, fat, and bones down a flo… [+1217 chars]","Halloween horror came early for one Iowa family when their basement flooded with five inches of animal blood. According to WHO Channel 13 News, the flood happened after a meat locker next to the family's home discarded animal blood, fat, and bones down a floo…",https://mondrian.mashable.com/2019%252F10%252F17%252F3b%252F9627b1aa6fae451ab4754836878e3995.b9887.png%252F1200x630.png?signature=obyBBjvVAz845lR4cYGrzHcLNnE=,2019-10-17,Mashable,Blood floods a family's basement and we could not be more horrified,https://mashable.com/article/blood-basement-flood-iowa/
